1 completed epochs, 15300 batches	Train loss: 0.6449	Train acc: 73.0625	Test loss: 0.5804	Test acc: 76.7915
1 completed epochs, 15400 batches	Train loss: 0.6170	Train acc: 74.9062	Test loss: 0.5754	Test acc: 76.9951
1 completed epochs, 15500 batches	Train loss: 0.6192	Train acc: 74.8438	Test loss: 0.5661	Test acc: 77.3616
1 completed epochs, 15600 batches	Train loss: 0.6241	Train acc: 74.2188	Test loss: 0.5616	Test acc: 77.5346
1 completed epochs, 15700 batches	Train loss: 0.6003	Train acc: 76.0312	Test loss: 0.5713	Test acc: 77.1885
1 completed epochs, 15800 batches	Train loss: 0.6257	Train acc: 74.1250	Test loss: 0.5958	Test acc: 76.6083
1 completed epochs, 15900 batches	Train loss: 0.6297	Train acc: 74.5312	Test loss: 0.5608	Test acc: 77.9621
1 completed epochs, 16000 batches	Train loss: 0.6407	Train acc: 72.9688	Test loss: 0.5639	Test acc: 77.7586
1 completed epochs, 16100 batches	Train loss: 0.6005	Train acc: 75.2500	Test loss: 0.5567	Test acc: 77.8094
1 completed epochs, 16200 batches	Train loss: 0.6486	Train acc: 73.0000	Test loss: 0.5499	Test acc: 78.1555
1 completed epochs, 16300 batches	Train loss: 0.6048	Train acc: 75.4062	Test loss: 0.5589	Test acc: 77.4735
1 completed epochs, 16400 batches	Train loss: 0.6263	Train acc: 74.3438	Test loss: 0.5651	Test acc: 77.2700
1 completed epochs, 16500 batches	Train loss: 0.6113	Train acc: 75.2500	Test loss: 0.5502	Test acc: 78.0843
1 completed epochs, 16600 batches	Train loss: 0.6042	Train acc: 74.5312	Test loss: 0.5747	Test acc: 77.4837
1 completed epochs, 16700 batches	Train loss: 0.6541	Train acc: 72.2500	Test loss: 0.5782	Test acc: 77.3514
1 completed epochs, 16800 batches	Train loss: 0.6257	Train acc: 74.8750	Test loss: 0.5634	Test acc: 77.9011
1 completed epochs, 16900 batches	Train loss: 0.6424	Train acc: 73.6562	Test loss: 0.5533	Test acc: 78.2675
1 completed epochs, 17000 batches	Train loss: 0.6066	Train acc: 75.5938	Test loss: 0.5787	Test acc: 76.7508
1 completed epochs, 17100 batches	Train loss: 0.6159	Train acc: 74.4375	Test loss: 0.5579	Test acc: 77.8196
2 completed epochs, 17200 batches	Train loss: 0.6279	Train acc: 74.2401	Test loss: 0.5735	Test acc: 77.1682
2 completed epochs, 17300 batches	Train loss: 0.6075	Train acc: 75.2812	Test loss: 0.5549	Test acc: 78.1454
2 completed epochs, 17400 batches	Train loss: 0.6145	Train acc: 75.0938	Test loss: 0.5549	Test acc: 77.9214
2 completed epochs, 17500 batches	Train loss: 0.6275	Train acc: 74.0938	Test loss: 0.5533	Test acc: 78.1657
2 completed epochs, 17600 batches	Train loss: 0.5985	Train acc: 75.1875	Test loss: 0.5731	Test acc: 76.8831
2 completed epochs, 17700 batches	Train loss: 0.6273	Train acc: 74.4688	Test loss: 0.5813	Test acc: 77.0053
2 completed epochs, 17800 batches	Train loss: 0.6013	Train acc: 75.5938	Test loss: 0.5568	Test acc: 78.1352
2 completed epochs, 17900 batches	Train loss: 0.6192	Train acc: 74.9062	Test loss: 0.5578	Test acc: 77.6771
2 completed epochs, 18000 batches	Train loss: 0.5973	Train acc: 75.0625	Test loss: 0.5650	Test acc: 77.7484
2 completed epochs, 18100 batches	Train loss: 0.5979	Train acc: 76.2500	Test loss: 0.5663	Test acc: 77.1478
2 completed epochs, 18200 batches	Train loss: 0.6003	Train acc: 75.6875	Test loss: 0.5608	Test acc: 77.5651
2 completed epochs, 18300 batches	Train loss: 0.6126	Train acc: 75.9062	Test loss: 0.5500	Test acc: 78.2879
2 completed epochs, 18400 batches	Train loss: 0.6079	Train acc: 75.4375	Test loss: 0.5672	Test acc: 77.5753
2 completed epochs, 18500 batches	Train loss: 0.6122	Train acc: 74.1562	Test loss: 0.5521	Test acc: 78.0130
2 completed epochs, 18600 batches	Train loss: 0.5906	Train acc: 76.1875	Test loss: 0.5647	Test acc: 77.3310
2 completed epochs, 18700 batches	Train loss: 0.6256	Train acc: 74.5625	Test loss: 0.5485	Test acc: 78.5627
2 completed epochs, 18800 batches	Train loss: 0.5975	Train acc: 76.0000	Test loss: 0.5519	Test acc: 78.0130
2 completed epochs, 18900 batches	Train loss: 0.5892	Train acc: 75.7812	Test loss: 0.5600	Test acc: 77.4328
2 completed epochs, 19000 batches	Train loss: 0.6154	Train acc: 73.9375	Test loss: 0.5576	Test acc: 77.9316
2 completed epochs, 19100 batches	Train loss: 0.6116	Train acc: 75.0312	Test loss: 0.5481	Test acc: 78.6034
2 completed epochs, 19200 batches	Train loss: 0.6357	Train acc: 74.2188	Test loss: 0.5483	Test acc: 78.6543
2 completed epochs, 19300 batches	Train loss: 0.6113	Train acc: 74.2812	Test loss: 0.5539	Test acc: 77.9316
2 completed epochs, 19400 batches	Train loss: 0.6188	Train acc: 74.4688	Test loss: 0.5346	Test acc: 79.1429
2 completed epochs, 19500 batches	Train loss: 0.6049	Train acc: 75.2500	Test loss: 0.5460	Test acc: 78.6340
2 completed epochs, 19600 batches	Train loss: 0.6013	Train acc: 74.9688	Test loss: 0.5392	Test acc: 78.9190
2 completed epochs, 19700 batches	Train loss: 0.6027	Train acc: 74.6875	Test loss: 0.5377	Test acc: 79.0717
2 completed epochs, 19800 batches	Train loss: 0.5995	Train acc: 74.7188	Test loss: 0.5691	Test acc: 77.5041
2 completed epochs, 19900 batches	Train loss: 0.6094	Train acc: 75.5625	Test loss: 0.5675	Test acc: 77.3819
2 completed epochs, 20000 batches	Train loss: 0.5885	Train acc: 76.0625	Test loss: 0.5558	Test acc: 77.8603
2 completed epochs, 20100 batches	Train loss: 0.6059	Train acc: 74.4062	Test loss: 0.5655	Test acc: 77.8094
2 completed epochs, 20200 batches	Train loss: 0.6197	Train acc: 75.5625	Test loss: 0.5614	Test acc: 77.9520
2 completed epochs, 20300 batches	Train loss: 0.5966	Train acc: 74.8125	Test loss: 0.5658	Test acc: 77.6160
2 completed epochs, 20400 batches	Train loss: 0.6218	Train acc: 74.8750	Test loss: 0.5510	Test acc: 78.4100
2 completed epochs, 20500 batches	Train loss: 0.5969	Train acc: 75.3125	Test loss: 0.5332	Test acc: 78.9393
2 completed epochs, 20600 batches	Train loss: 0.5982	Train acc: 75.6562	Test loss: 0.5677	Test acc: 77.8502
2 completed epochs, 20700 batches	Train loss: 0.5809	Train acc: 76.7812	Test loss: 0.5348	Test acc: 79.0208
2 completed epochs, 20800 batches	Train loss: 0.5794	Train acc: 77.5312	Test loss: 0.5496	Test acc: 78.3489
2 completed epochs, 20900 batches	Train loss: 0.6071	Train acc: 75.2812	Test loss: 0.5442	Test acc: 78.6136
2 completed epochs, 21000 batches	Train loss: 0.6043	Train acc: 75.2812	Test loss: 0.5397	Test acc: 78.5729
2 completed epochs, 21100 batches	Train loss: 0.5952	Train acc: 75.0625	Test loss: 0.5463	Test acc: 78.3591
2 completed epochs, 21200 batches	Train loss: 0.6139	Train acc: 75.3750	Test loss: 0.5432	Test acc: 78.7256
2 completed epochs, 21300 batches	Train loss: 0.6192	Train acc: 74.9375	Test loss: 0.5510	Test acc: 78.3388
2 completed epochs, 21400 batches	Train loss: 0.5873	Train acc: 76.1875	Test loss: 0.5425	Test acc: 78.6238
2 completed epochs, 21500 batches	Train loss: 0.6115	Train acc: 74.8750	Test loss: 0.5583	Test acc: 77.7687
2 completed epochs, 21600 batches	Train loss: 0.6348	Train acc: 74.0625	Test loss: 0.5436	Test acc: 78.9190
2 completed epochs, 21700 batches	Train loss: 0.6031	Train acc: 75.9375	Test loss: 0.5340	Test acc: 79.1429
2 completed epochs, 21800 batches	Train loss: 0.6040	Train acc: 75.6562	Test loss: 0.5379	Test acc: 79.2243
2 completed epochs, 21900 batches	Train loss: 0.5744	Train acc: 76.6250	Test loss: 0.5285	Test acc: 79.2752
2 completed epochs, 22000 batches	Train loss: 0.5825	Train acc: 75.9062	Test loss: 0.5466	Test acc: 78.4100
2 completed epochs, 22100 batches	Train loss: 0.5818	Train acc: 76.0938	Test loss: 0.5266	Test acc: 79.1938
2 completed epochs, 22200 batches	Train loss: 0.6135	Train acc: 74.9375	Test loss: 0.5442	Test acc: 78.9495
2 completed epochs, 22300 batches	Train loss: 0.6059	Train acc: 75.2188	Test loss: 0.5435	Test acc: 78.5423
2 completed epochs, 22400 batches	Train loss: 0.5880	Train acc: 76.4062	Test loss: 0.5347	Test acc: 78.9393
2 completed epochs, 22500 batches	Train loss: 0.5967	Train acc: 76.5000	Test loss: 0.5356	Test acc: 78.8070
2 completed epochs, 22600 batches	Train loss: 0.5840	Train acc: 76.4375	Test loss: 0.5473	Test acc: 78.0537
